sheet,row,column_a_label,excel_cell_range,module_path,function,docstring_section
AI Stack,,AI Stack cash demand ($mm),AI Stack!— (Phase C / v1.x),calc.ai_stack.demand,compute_demand,§12 AI Stack (v1 stub)
AI Stack,,Total Revenue ($mm),AI Stack!— (v1.x),calc.ai_stack.module,compute_revenue,§12 AI Stack (v1 stub)
AI Stack,,Total COGS ($mm),AI Stack!— (v1.x),calc.ai_stack.module,compute_cogs,§7.3 internal compute transfer
AI Stack,,Gross Profit ($mm),AI Stack!— (v1.x),calc.ai_stack.module,compute_gross_profit,§3 module framing
AI Stack,,AI Stack Module CapEx ($mm),AI Stack!— (v1.x),calc.ai_stack.module,compute_capex,§12 AI Stack stub
AI Stack,,Module FCF ($mm),AI Stack!— (v1.x),calc.ai_stack.module,compute_fcf,§3 module FCF
AI Stack,,CENTRAL ALLOCATOR OUTPUTS,AI Stack!— (v1.x),calc.ai_stack.module,compute_allocator_out,§12 AI Stack stub OUT
AI Stack,,AI Stack proposed allocation ($mm),AI Stack!— (v1.x),calc.ai_stack.output,compute_output,§12 AI Stack stub
Allocator,,ALLOCATOR BRAIN,Allocator!— (Phase D orchestrator),calc.allocator.brain,compute_allocator,§6 + §20.2 (Sprint 11f Option A)
Assumptions,,Starting cash position EoY 2024 ($mm),Assumptions!B (Starting cash position EoY 2024),calc.allocator.cash_pool,starting_cash_mm,§6.1 + §15.2 R109
Assumptions,,Pre-IPO debt facility ($mm),Assumptions!B (Pre-IPO debt facility),calc.allocator.cash_pool,compute_bridge_drawdown,§2.13 + §15.2 R109
Assumptions,,IPO injection amount ($mm),Assumptions!B (IPO injection amount),calc.allocator.cash_pool,compute_ipo_drawdown,§6.1 + §15.2 R109
Allocator,,Cash BoY ($mm),Allocator!D8:AC8,calc.allocator.cash_pool,compute_cash_boy,§6.1 + §2.13 (pre-IPO debt facility)
Allocator,,Starlink V2 BB cash demand ($mm),Allocator!D48:AC48 (V2 BB cash demand row),calc.allocator.demand_builders,compute_exogenous_demands,§6.5 / §20.3 (Sprint 11f Option A)
Allocator,,Available cash for IRR queue ($mm),Allocator!D29:AC29,calc.allocator.deployment,cap_cash_allocations_to_available,§6.2 queue gate
Allocator,,Starlink V2 BB cash allocation ($mm),Allocator!D88:AC88 (V2 BB cash allocation),calc.allocator.deployment,apply_first_year_override,§2.16 (first-year override convention)
Allocator,,Customer Launch Blended IRR,Allocator!D153:AC153,calc.allocator.irr_display,roll_up_module_irrs,§6 central IRR display
Allocator,,V2 phase-out gate,Allocator!— (Phase D),calc.allocator.physical_gates,apply_v2_phase_out_gate,§20.2 (V2 phase-out gate)
Allocator,,V3 startup gate,Allocator!— (Phase D),calc.allocator.physical_gates,apply_v3_startup_gate,§20.2 (V3 startup gate)
Starlink,,F9 supply gate (V2 launches),Starlink!— (Phase D),calc.allocator.physical_gates,apply_f9_supply_gate,§20.2 (F9 supply gate)
Allocator,,Year-N non-module claims ($mm),Allocator!D18:AC18,calc.allocator.queue_gate,compute_non_module_claims,§6.2 (queue gate)
Allocator,,Available cash for IRR queue ($mm),Allocator!D29:AC29,calc.allocator.queue_gate,available_cash_for_irr_queue,§6.2 (queue gate)
